date;neutre;surprise;happiness;homme;femme;age
19:25:45;0,899;0,0;0,0;1;0;29,0
19:25:46;0,888;0,0;0,0;1;0;28,0
19:25:47;0,968;0,001;0,0;1;0;29,0
19:25:48;0,966;0,001;0,006;1;0;41,0
19:25:51;0,987;0,0;0,0;1;0;42,0
19:25:52;0,972;0,013;0,002;1;0;22,0
19:25:53;0,41;0,0005;0,5005;1;1;22,5
19:25:54;0,967;0,0015;0,0015;1;1;21,5
19:25:55;0,8845000000000001;0,0045;0,0;1;1;23,0
19:25:56;0,9644999999999999;0,021;0,0;1;1;22,5
19:25:58;0,962;0,0;0,031;0;1;50,0
19:25:59;0,96;0,002;0,032;0;1;45,0
19:26:2;0,006;0,0;0,988;0;1;40,0
19:26:3;0,0;0,0;1,0;0;1;42,0
date;neutre;surprise;happiness;homme;femme;age
14:10:11;0.984;0.0;0.001;1;0;31.0
14:10:13;0.996;0.0;0.0;1;0;29.0
14:10:14;0.989;0.0;0.0;1;0;25.0
14:10:15;0.951;0.0;0.001;1;0;24.0
14:10:16;0.996;0.0;0.0;1;0;25.0
14:10:17;0.999;0.0;0.0;1;0;26.0
date;neutre;surprise;happiness;homme;femme;age
14:10:38;0.981;0.0;0.0;1;0;27.0
14:10:39;0.979;0.0;0.0;1;0;25.0
